runs,misc-dent-ax,misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-0-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-0-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-0-ax,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-0-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-I-0-ax,D_lc-I-1-ax,D_lc-I-2-ax,D_lc-I-3-ax,D_lc-T-0-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-0-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-0-eq,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-0-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-I-0-eq,D_lc-I-1-eq,D_lc-I-2-eq,D_lc-I-3-eq,D_lc-T-0-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-0-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
Cr_ax_403_eq1_551_eq2_552,1,1,88.5918,172.85459999999998,320.4264,344.6416,3588.0,8642.0,14240.0,13152.0,15.0,32.0,54.0,56.0,86.0,216.0,304.0,232.0,14.5379,34.0304,56.956,56.6332,18.152800000000003,24.664800000000003,11.352000000000002,0.0,513.0,544.0,32.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,2.2177,2.8356,0.7548,0.0,24.765300000000003,36.0657,24.6132,13.312800000000001,993.0,1473.0,992.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.2448,6.4072000000000005,4.2432,2.0808,6.6564000000000005,6.6564000000000005,5.676000000000001,0.0,256.0,256.0,16.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0404,1.0404,0.3774,0.0,6.6564000000000005,6.1533,6.1533,6.6564000000000005,256.0,248.0,248.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0608,1.0608,1.0404,0.0,0.0,0.3799999999999999,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.19500000000000006,0.19500000000000006,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.0,2.7556,25.696800000000003,24.402,7.304,576.0,2304.0,2256.0,48.0,1.0,6.0,6.0,2.0,36.0,72.0,72.0,12.0,1.6129,7.7724,7.874,0.9398,0.0,-5.5200000000000005,-4.74,-1.0800000000000005,0.0,48.0,50.0,46.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,10.0,0.0,1.5,1.42,1.8
Mn_ax_403_eq1_551_eq2_552,1,1,88.23870000000001,169.44899999999996,317.1924000000001,343.6736,3637.0,8834.0,14428.0,13156.0,15.0,32.0,54.0,56.0,86.0,216.0,304.0,232.0,14.8571,35.499199999999995,58.444,56.81079999999999,18.152800000000003,24.664800000000003,11.352000000000002,0.0,513.0,544.0,32.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,2.2177,2.8356,0.7548,0.0,24.765300000000003,36.0657,24.6132,13.312800000000001,993.0,1473.0,992.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.2448,6.4072000000000005,4.2432,2.0808,6.6564000000000005,6.6564000000000005,5.676000000000001,0.0,256.0,256.0,16.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0404,1.0404,0.3774,0.0,6.6564000000000005,6.1533,6.1533,6.6564000000000005,256.0,248.0,248.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0608,1.0608,1.0404,0.0,0.0,0.3799999999999999,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.19500000000000006,0.19500000000000006,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.0,2.4025000000000003,23.994,22.785,6.820000000000001,625.0,2400.0,2350.0,50.0,1.0,6.0,6.0,2.0,36.0,72.0,72.0,12.0,1.9320999999999997,8.5068,8.618,1.0286,0.0,-6.180000000000001,-5.4,-1.3000000000000003,0.0,54.0,56.0,48.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,10.0,0.0,2.2199999999999993,2.1399999999999992,2.04
Fe_ax_403_eq1_551_eq2_552,1,1,89.1851,178.11780000000002,325.42440000000005,346.1376,3688.0,9026.0,14616.0,13160.0,15.0,32.0,54.0,56.0,86.0,216.0,304.0,232.0,14.487500000000002,33.78560000000001,56.708,56.60359999999999,18.152800000000003,24.664800000000003,11.352000000000002,0.0,513.0,544.0,32.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,2.2177,2.8356,0.7548,0.0,24.765300000000003,36.0657,24.6132,13.312800000000001,993.0,1473.0,992.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.2448,6.4072000000000005,4.2432,2.0808,6.6564000000000005,6.6564000000000005,5.676000000000001,0.0,256.0,256.0,16.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0404,1.0404,0.3774,0.0,6.6564000000000005,6.1533,6.1533,6.6564000000000005,256.0,248.0,248.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0608,1.0608,1.0404,0.0,0.0,0.3799999999999999,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.19500000000000006,0.19500000000000006,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.0,3.3489000000000004,28.3284,26.900999999999996,8.052000000000001,676.0,2496.0,2444.0,52.0,1.0,6.0,6.0,2.0,36.0,72.0,72.0,12.0,1.5625,7.65,7.75,0.925,0.0,-4.5,-3.7199999999999998,-0.7400000000000002,0.0,60.0,62.0,50.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,10.0,0.0,1.38,1.2999999999999998,1.76
Co_ax_403_eq1_551_eq2_552,1,1,89.37060000000001,179.66579999999996,326.89439999999996,346.5776,3741.0,9218.0,14804.0,13164.0,15.0,32.0,54.0,56.0,86.0,216.0,304.0,232.0,14.5126,33.90800000000001,56.83200000000001,56.6184,18.152800000000003,24.664800000000003,11.352000000000002,0.0,513.0,544.0,32.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,2.2177,2.8356,0.7548,0.0,24.765300000000003,36.0657,24.6132,13.312800000000001,993.0,1473.0,992.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.2448,6.4072000000000005,4.2432,2.0808,6.6564000000000005,6.6564000000000005,5.676000000000001,0.0,256.0,256.0,16.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0404,1.0404,0.3774,0.0,6.6564000000000005,6.1533,6.1533,6.6564000000000005,256.0,248.0,248.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0608,1.0608,1.0404,0.0,0.0,0.3799999999999999,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.19500000000000006,0.19500000000000006,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.0,3.5343999999999998,29.1024,27.636,8.272,729.0,2592.0,2538.0,54.0,1.0,6.0,6.0,2.0,36.0,72.0,72.0,12.0,1.5876000000000001,7.7112,7.811999999999999,0.9324,0.0,-4.200000000000001,-3.420000000000001,-0.6400000000000006,0.0,66.0,68.0,52.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,10.0,0.0,1.44,1.3599999999999999,1.78
