runs,misc-dent-ax,misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-0-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-0-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-0-ax,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-0-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-I-0-ax,D_lc-I-1-ax,D_lc-I-2-ax,D_lc-I-3-ax,D_lc-T-0-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-0-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-0-eq,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-0-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-I-0-eq,D_lc-I-1-eq,D_lc-I-2-eq,D_lc-I-3-eq,D_lc-T-0-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-0-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
Cr_top_404_bottom_402_eq_552,1,1,85.6121,165.5196,314.394,343.37479999999994,3618.0,8702.0,14320.0,13200.0,14.0,30.0,52.0,54.0,82.0,208.0,288.0,200.0,14.3178,33.0572,55.9364,55.4486,14.80265,17.1246,5.676000000000001,0.0,497.0,511.0,16.0,0.0,2.5,3.0,1.0,0.0,4.0,5.0,1.0,0.0,2.19085,2.5138000000000003,0.3774,0.0,26.625600000000002,39.9384,26.625600000000002,13.312800000000001,1024.0,1536.0,1024.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.1616,6.2424,4.1616,2.0808,6.6564000000000005,6.1533,2.8380000000000005,0.0,256.0,248.0,8.0,0.0,1.0,1.0,0.5,0.0,1.0,1.5,0.5,0.0,1.0404,1.0608,0.1887,0.0,6.6564000000000005,6.6564000000000005,6.6564000000000005,6.6564000000000005,256.0,256.0,256.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0404,1.0404,1.0404,0.0,0.19500000000000006,0.18999999999999995,0.0,0.0,0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.020000000000000018,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.7556,25.696800000000003,25.049400000000002,3.652,576.0,2304.0,2280.0,24.0,1.0,6.0,6.0,1.0,36.0,72.0,66.0,6.0,1.6129,7.7724,7.8232,0.4699,0.0,-5.5200000000000005,-5.130000000000001,-0.5400000000000003,0.0,48.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,5.0,0.0,1.5,1.46,0.9
Mn_top_404_bottom_402_eq_552,1,1,85.259,162.114,311.0742,342.8908,3667.0,8894.0,14510.0,13202.0,14.0,30.0,52.0,54.0,82.0,208.0,288.0,200.0,14.637,34.525999999999996,57.414799999999985,55.5374,14.80265,17.1246,5.676000000000001,0.0,497.0,511.0,16.0,0.0,2.5,3.0,1.0,0.0,4.0,5.0,1.0,0.0,2.19085,2.5138000000000003,0.3774,0.0,26.625600000000002,39.9384,26.625600000000002,13.312800000000001,1024.0,1536.0,1024.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.1616,6.2424,4.1616,2.0808,6.6564000000000005,6.1533,2.8380000000000005,0.0,256.0,248.0,8.0,0.0,1.0,1.0,0.5,0.0,1.0,1.5,0.5,0.0,1.0404,1.0608,0.1887,0.0,6.6564000000000005,6.6564000000000005,6.6564000000000005,6.6564000000000005,256.0,256.0,256.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0404,1.0404,1.0404,0.0,0.19500000000000006,0.18999999999999995,0.0,0.0,0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.020000000000000018,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.4025000000000003,23.994,23.3895,3.4100000000000006,625.0,2400.0,2375.0,25.0,1.0,6.0,6.0,1.0,36.0,72.0,66.0,6.0,1.9320999999999997,8.5068,8.5624,0.5143,0.0,-6.180000000000001,-5.79,-0.6500000000000001,0.0,54.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,5.0,0.0,2.2199999999999993,2.1799999999999993,1.02
Fe_top_404_bottom_402_eq_552,1,1,86.2054,170.7828,319.5246000000001,344.1228,3718.0,9086.0,14700.0,13204.0,14.0,30.0,52.0,54.0,82.0,208.0,288.0,200.0,14.2674,32.812400000000004,55.68999999999999,55.4338,14.80265,17.1246,5.676000000000001,0.0,497.0,511.0,16.0,0.0,2.5,3.0,1.0,0.0,4.0,5.0,1.0,0.0,2.19085,2.5138000000000003,0.3774,0.0,26.625600000000002,39.9384,26.625600000000002,13.312800000000001,1024.0,1536.0,1024.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.1616,6.2424,4.1616,2.0808,6.6564000000000005,6.1533,2.8380000000000005,0.0,256.0,248.0,8.0,0.0,1.0,1.0,0.5,0.0,1.0,1.5,0.5,0.0,1.0404,1.0608,0.1887,0.0,6.6564000000000005,6.6564000000000005,6.6564000000000005,6.6564000000000005,256.0,256.0,256.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0404,1.0404,1.0404,0.0,0.19500000000000006,0.18999999999999995,0.0,0.0,0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.020000000000000018,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.3489000000000004,28.3284,27.6147,4.026000000000001,676.0,2496.0,2470.0,26.0,1.0,6.0,6.0,1.0,36.0,72.0,66.0,6.0,1.5625,7.65,7.7,0.4625,0.0,-4.5,-4.109999999999999,-0.3700000000000001,0.0,60.0,61.0,25.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,5.0,0.0,1.38,1.3399999999999999,0.88
Co_top_404_bottom_402_eq_552,1,1,86.3909,172.33079999999998,321.03360000000004,344.3428,3771.0,9278.0,14890.0,13206.0,14.0,30.0,52.0,54.0,82.0,208.0,288.0,200.0,14.2925,32.9348,55.81320000000001,55.441199999999995,14.80265,17.1246,5.676000000000001,0.0,497.0,511.0,16.0,0.0,2.5,3.0,1.0,0.0,4.0,5.0,1.0,0.0,2.19085,2.5138000000000003,0.3774,0.0,26.625600000000002,39.9384,26.625600000000002,13.312800000000001,1024.0,1536.0,1024.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.1616,6.2424,4.1616,2.0808,6.6564000000000005,6.1533,2.8380000000000005,0.0,256.0,248.0,8.0,0.0,1.0,1.0,0.5,0.0,1.0,1.5,0.5,0.0,1.0404,1.0608,0.1887,0.0,6.6564000000000005,6.6564000000000005,6.6564000000000005,6.6564000000000005,256.0,256.0,256.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0404,1.0404,1.0404,0.0,0.19500000000000006,0.18999999999999995,0.0,0.0,0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.020000000000000018,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.5343999999999998,29.1024,28.3692,4.136,729.0,2592.0,2565.0,27.0,1.0,6.0,6.0,1.0,36.0,72.0,66.0,6.0,1.5876000000000001,7.7112,7.7616000000000005,0.4662,0.0,-4.200000000000001,-3.810000000000001,-0.3200000000000003,0.0,66.0,67.0,26.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,5.0,0.0,1.44,1.4,0.89
