runs,misc-dent-ax,misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-0-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-0-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-0-ax,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-0-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-I-0-ax,D_lc-I-1-ax,D_lc-I-2-ax,D_lc-I-3-ax,D_lc-T-0-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-0-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-0-eq,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-0-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-I-0-eq,D_lc-I-1-eq,D_lc-I-2-eq,D_lc-I-3-eq,D_lc-T-0-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-0-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
Cr_top_403_bottom_404_eq_0,1,1,60.231199999999994,88.9728,225.09,139.1936,1745.0,3744.0,4048.0,2608.0,10.0,18.0,36.0,22.0,54.0,112.0,92.0,48.0,8.283000000000001,17.9212,27.6984,17.6678,15.732800000000001,18.9888,5.676000000000001,0.0,512.5,528.0,16.0,0.0,2.5,3.0,1.0,0.0,4.0,5.0,1.0,0.0,2.14925,2.4581999999999997,0.3774,0.0,6.5024999999999995,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929,0.0,0.0,0.0,6.6564000000000005,6.6564000000000005,2.8380000000000005,0.0,256.0,256.0,8.0,0.0,1.0,1.0,0.5,0.0,1.0,1.5,0.5,0.0,1.0404,1.0404,0.1887,0.0,6.5024999999999995,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929,0.0,0.0,0.0,0.0,0.0,0.18999999999999995,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7556,25.4976,8.5656,3.652,576.0,1344.0,768.0,24.0,1.0,6.0,2.0,1.0,36.0,48.0,18.0,6.0,1.6129,6.5024,2.5908,0.4699,0.0,-5.3999999999999995,-1.8400000000000003,-0.5400000000000003,0.0,88.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,5.0,0.0,2.5,0.5,0.9
Mn_top_403_bottom_404_eq_0,1,1,59.87809999999999,85.5936,223.95479999999995,138.7096,1794.0,3856.0,4112.0,2610.0,10.0,18.0,36.0,22.0,54.0,112.0,92.0,48.0,8.6022,19.15,28.188000000000002,17.7566,15.732800000000001,18.9888,5.676000000000001,0.0,512.5,528.0,16.0,0.0,2.5,3.0,1.0,0.0,4.0,5.0,1.0,0.0,2.14925,2.4581999999999997,0.3774,0.0,6.5024999999999995,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929,0.0,0.0,0.0,6.6564000000000005,6.6564000000000005,2.8380000000000005,0.0,256.0,256.0,8.0,0.0,1.0,1.0,0.5,0.0,1.0,1.5,0.5,0.0,1.0404,1.0404,0.1887,0.0,6.5024999999999995,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929,0.0,0.0,0.0,0.0,0.0,0.18999999999999995,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4025000000000003,23.807999999999996,7.998,3.4100000000000006,625.0,1400.0,800.0,25.0,1.0,6.0,2.0,1.0,36.0,48.0,18.0,6.0,1.9320999999999997,7.1168,2.8356,0.5143,0.0,-6.06,-2.06,-0.6500000000000001,0.0,94.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,5.0,0.0,3.2199999999999998,0.7399999999999998,1.02
Fe_top_403_bottom_404_eq_0,1,1,60.82449999999999,94.19520000000001,226.84439999999995,139.9416,1845.0,3968.0,4176.0,2612.0,10.0,18.0,36.0,22.0,54.0,112.0,92.0,48.0,8.232600000000001,17.7164,27.616799999999998,17.653,15.732800000000001,18.9888,5.676000000000001,0.0,512.5,528.0,16.0,0.0,2.5,3.0,1.0,0.0,4.0,5.0,1.0,0.0,2.14925,2.4581999999999997,0.3774,0.0,6.5024999999999995,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929,0.0,0.0,0.0,6.6564000000000005,6.6564000000000005,2.8380000000000005,0.0,256.0,256.0,8.0,0.0,1.0,1.0,0.5,0.0,1.0,1.5,0.5,0.0,1.0404,1.0404,0.1887,0.0,6.5024999999999995,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929,0.0,0.0,0.0,0.0,0.0,0.18999999999999995,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3489000000000004,28.1088,9.4428,4.026000000000001,676.0,1456.0,832.0,26.0,1.0,6.0,2.0,1.0,36.0,48.0,18.0,6.0,1.5625,6.4,2.55,0.4625,0.0,-4.379999999999999,-1.5,-0.3700000000000001,0.0,100.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,5.0,0.0,2.38,0.45999999999999996,0.88
Co_top_403_bottom_404_eq_0,1,1,61.00999999999999,95.7312,227.3604,140.1616,1898.0,4080.0,4240.0,2614.0,10.0,18.0,36.0,22.0,54.0,112.0,92.0,48.0,8.2577,17.818800000000003,27.6576,17.660400000000003,15.732800000000001,18.9888,5.676000000000001,0.0,512.5,528.0,16.0,0.0,2.5,3.0,1.0,0.0,4.0,5.0,1.0,0.0,2.14925,2.4581999999999997,0.3774,0.0,6.5024999999999995,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929,0.0,0.0,0.0,6.6564000000000005,6.6564000000000005,2.8380000000000005,0.0,256.0,256.0,8.0,0.0,1.0,1.0,0.5,0.0,1.0,1.5,0.5,0.0,1.0404,1.0404,0.1887,0.0,6.5024999999999995,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929,0.0,0.0,0.0,0.0,0.0,0.18999999999999995,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5343999999999998,28.8768,9.7008,4.136,729.0,1512.0,864.0,27.0,1.0,6.0,2.0,1.0,36.0,48.0,18.0,6.0,1.5876000000000001,6.4512,2.5704000000000002,0.4662,0.0,-4.08,-1.4000000000000004,-0.3200000000000003,0.0,106.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,5.0,0.0,2.4400000000000004,0.48,0.89
