runs,misc-dent-ax,misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-0-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-0-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-0-ax,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-0-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-I-0-ax,D_lc-I-1-ax,D_lc-I-2-ax,D_lc-I-3-ax,D_lc-T-0-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-0-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-0-eq,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-0-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-I-0-eq,D_lc-I-1-eq,D_lc-I-2-eq,D_lc-I-3-eq,D_lc-T-0-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-0-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
Cr_eq1_146_eq2_147_ax_0,1,1,117.01620000000001,252.10080000000008,524.563,762.6728,2714.0,6906.0,10704.0,7864.0,21.0,46.0,94.0,136.0,140.0,400.0,648.0,552.0,13.569300000000005,35.205000000000005,63.26499999999998,68.3112,64.73,128.775,199.36999999999998,218.92499999999998,152.0,312.0,296.0,192.0,12.0,22.0,36.0,42.0,58.0,136.0,144.0,98.0,3.466799999999999,8.1158,10.304399999999998,9.0298,24.765300000000003,36.0657,24.6132,13.312800000000001,993.0,1473.0,992.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.2448,6.4072000000000005,4.2432,2.0808,6.5024999999999995,17.7225,17.7225,17.7225,36.0,48.0,48.0,48.0,1.0,3.0,3.0,3.0,9.0,18.0,18.0,15.0,0.5929,1.1627,1.1627,1.1626999999999998,6.6564000000000005,6.1533,6.1533,6.6564000000000005,256.0,248.0,248.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0608,1.0608,1.0404,0.0,0.6999999999999993,0.6999999999999993,0.6999999999999993,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.8,0.8,0.8,0.0,0.19500000000000006,0.19500000000000006,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.0,2.7556,25.5972,38.9104,14.608,576.0,1824.0,1872.0,96.0,1.0,6.0,10.0,4.0,36.0,96.0,120.0,24.0,1.6129,7.1374,9.118599999999997,1.8796,0.0,-5.46,-6.84,-2.160000000000001,0.0,68.0,162.0,92.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,0.0,2.0,5.5200000000000005,3.6
Mn_eq1_146_eq2_147_ax_0,1,1,116.66310000000001,248.7084000000001,519.4062,760.7368000000001,2763.0,7058.0,10860.0,7872.0,21.0,46.0,94.0,136.0,140.0,400.0,648.0,552.0,13.888500000000006,36.553799999999995,64.98819999999998,68.66640000000001,64.73,128.775,199.36999999999998,218.92499999999998,152.0,312.0,296.0,192.0,12.0,22.0,36.0,42.0,58.0,136.0,144.0,98.0,3.466799999999999,8.1158,10.304399999999998,9.0298,24.765300000000003,36.0657,24.6132,13.312800000000001,993.0,1473.0,992.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.2448,6.4072000000000005,4.2432,2.0808,6.5024999999999995,17.7225,17.7225,17.7225,36.0,48.0,48.0,48.0,1.0,3.0,3.0,3.0,9.0,18.0,18.0,15.0,0.5929,1.1627,1.1627,1.1626999999999998,6.6564000000000005,6.1533,6.1533,6.6564000000000005,256.0,248.0,248.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0608,1.0608,1.0404,0.0,0.6999999999999993,0.6999999999999993,0.6999999999999993,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.8,0.8,0.8,0.0,0.19500000000000006,0.19500000000000006,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.0,2.4025000000000003,23.901,36.33200000000001,13.640000000000002,625.0,1900.0,1950.0,100.0,1.0,6.0,10.0,4.0,36.0,96.0,120.0,24.0,1.9320999999999997,7.8118,9.9802,2.0572,0.0,-6.12,-7.940000000000001,-2.6000000000000005,0.0,74.0,172.0,96.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,0.0,2.7199999999999998,6.719999999999999,4.08
Fe_eq1_146_eq2_147_ax_0,1,1,117.60950000000001,257.3436000000001,532.5326,765.6648,2814.0,7210.0,11016.0,7880.0,21.0,46.0,94.0,136.0,140.0,400.0,648.0,552.0,13.518900000000007,34.9802,62.977799999999995,68.25200000000001,64.73,128.775,199.36999999999998,218.92499999999998,152.0,312.0,296.0,192.0,12.0,22.0,36.0,42.0,58.0,136.0,144.0,98.0,3.466799999999999,8.1158,10.304399999999998,9.0298,24.765300000000003,36.0657,24.6132,13.312800000000001,993.0,1473.0,992.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.2448,6.4072000000000005,4.2432,2.0808,6.5024999999999995,17.7225,17.7225,17.7225,36.0,48.0,48.0,48.0,1.0,3.0,3.0,3.0,9.0,18.0,18.0,15.0,0.5929,1.1627,1.1627,1.1626999999999998,6.6564000000000005,6.1533,6.1533,6.6564000000000005,256.0,248.0,248.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0608,1.0608,1.0404,0.0,0.6999999999999993,0.6999999999999993,0.6999999999999993,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.8,0.8,0.8,0.0,0.19500000000000006,0.19500000000000006,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.0,3.3489000000000004,28.2186,42.8952,16.104000000000003,676.0,1976.0,2028.0,104.0,1.0,6.0,10.0,4.0,36.0,96.0,120.0,24.0,1.5625,7.025,8.975000000000001,1.85,0.0,-4.4399999999999995,-5.14,-1.4800000000000004,0.0,80.0,182.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,0.0,1.88,5.319999999999999,3.52
Co_eq1_146_eq2_147_ax_0,1,1,117.795,258.88560000000007,534.8765999999999,766.5448000000001,2867.0,7362.0,11172.0,7888.0,21.0,46.0,94.0,136.0,140.0,400.0,648.0,552.0,13.544000000000006,35.09260000000001,63.12139999999999,68.28159999999998,64.73,128.775,199.36999999999998,218.92499999999998,152.0,312.0,296.0,192.0,12.0,22.0,36.0,42.0,58.0,136.0,144.0,98.0,3.466799999999999,8.1158,10.304399999999998,9.0298,24.765300000000003,36.0657,24.6132,13.312800000000001,993.0,1473.0,992.0,512.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,4.2448,6.4072000000000005,4.2432,2.0808,6.5024999999999995,17.7225,17.7225,17.7225,36.0,48.0,48.0,48.0,1.0,3.0,3.0,3.0,9.0,18.0,18.0,15.0,0.5929,1.1627,1.1627,1.1626999999999998,6.6564000000000005,6.1533,6.1533,6.6564000000000005,256.0,248.0,248.0,256.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0404,1.0608,1.0608,1.0404,0.0,0.6999999999999993,0.6999999999999993,0.6999999999999993,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.8,0.8,0.8,0.0,0.19500000000000006,0.19500000000000006,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.0,3.5343999999999998,28.9896,44.0672,16.544,729.0,2052.0,2106.0,108.0,1.0,6.0,10.0,4.0,36.0,96.0,120.0,24.0,1.5876000000000001,7.081200000000001,9.046800000000001,1.8648,0.0,-4.140000000000001,-4.6400000000000015,-1.2800000000000011,0.0,86.0,192.0,104.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,0.0,1.94,5.42,3.56
