[CH2--]-[CH2-]=[CH2-]-[CH2--],10, 8, 0, -2, 2, 0, 1, 4, 9, 7, 0, -1, 2, 1, 1, 2, 1, 0, 3, 2.55, 0.6999999999999993, 17.7225, 1, 3, 3, 3, 10
[CH2--]-[CH3-]-[CH3-]-[CH2--],10, 8, 0, -2, 2, 0, 1, 4, 10, 8, 0, -1, 3, 1, 1, 1, 0, 1, 4, 2.55, 0.6999999999999993, 17.7225, 1, 0, 3, 3, 7
[CH2-]-[CH4--]-[CH4--]-[CH2-],9, 7, 0, -1, 2, 1, 0, 3, 12, 10, 0, -2, 4, 1, 1, 1, -2, 1, 2, 2.55, 0.6999999999999993, 17.7225, 1, 3, 3, 2, 9
[CH3--]-[CH2-]=[CH2-]-[CH3--],11, 9, 0, -2, 3, -1, 0, 3, 9, 7, 0, -1, 2, 1, 1, 2, 1, 0, 3, 2.55, 1.049999999999999, 23.332500000000003, 1, 0, 3, 4, 8
[CH3--]-[CH3-]-[CH3-]-[CH3--],11, 9, 0, -2, 3, -1, 0, 3, 10, 8, 0, -1, 3, 1, 1, 1, 0, 1, 4, 2.55, 1.049999999999999, 23.332500000000003, 1, 0, 3, 4, 8
[CH3-]-[CH4--]-[CH4--]-[CH3-],10, 8, 0, -1, 3, 0, 1, 4, 12, 10, 0, -2, 4, 1, 1, 1, -2, 1, 2, 2.55, 1.049999999999999, 23.332500000000003, 1, 0, 3, 3, 7
[CH4--]-[CH2-]=[CH2-]-[CH4--],12, 10, 0, -2, 4, -2, 1, 2, 9, 7, 0, -1, 2, 1, 1, 2, 1, 0, 3, 2.55, 1.3999999999999986, 28.942500000000003, 1, 3, 3, 5, 12
[CH4--]-[CH3-]-[CH3-]-[CH4--],12, 10, 0, -2, 4, -2, 1, 2, 10, 8, 0, -1, 3, 1, 1, 1, 0, 1, 4, 2.55, 1.3999999999999986, 28.942500000000003, 1, 0, 3, 5, 9
[CH4-]-[CH4--]-[CH4--]-[CH4-],11, 9, 0, -1, 4, -1, 0, 3, 12, 10, 0, -2, 4, 1, 1, 1, -2, 1, 2, 2.55, 1.3999999999999986, 28.942500000000003, 1, 3, 3, 4, 11
[C--]-[CH]=[CH]-[C--],8, 6, 0, -2, 0, 2, 1, 2, 7, 5, 0, 0, 1, 1, 1, 2, 3, 0, 1, 2.55, 0.0, 6.5024999999999995, 2, 3, 3, 2, 10
