[C]#4[C--],6, 4, 0, 0, 0, 4, 1, 0, 8, 6, 0, -2, 0, 2, 1, 4, 2, 2.55, 0.0, 6.5024999999999995, 3, 2, 2, 5, 3, 15
[CH-]#4[CH-],8, 6, 0, -1, 1, 2, 1, 2, 8, 6, 0, -1, 1, 2, 1, 4, 2, 2.55, 0.34999999999999964, 12.1125, 3, 2, 2, 4, 3, 14
[CH2--]#4[C],10, 8, 0, -2, 2, 0, 1, 4, 6, 4, 0, 0, 0, 4, 1, 4, 0, 2.55, 0.6999999999999993, 17.7225, 3, 2, 2, 5, 3, 15
[CH2-]#[CH2-],9, 7, 0, -1, 2, 1, 0, 3, 9, 7, 0, -1, 2, 1, 0, 3, 3, 2.55, 0.6999999999999993, 17.7225, 3, 2, 2, 4, 3, 14
[C]#4[CH-],6, 4, 0, 0, 0, 4, 1, 0, 8, 6, 0, -1, 1, 2, 1, 4, 2, 2.55, 0.0, 6.5024999999999995, 3, 2, 2, 4, 3, 14
[CH-]#4[C],8, 6, 0, -1, 1, 2, 1, 2, 6, 4, 0, 0, 0, 4, 1, 4, 0, 2.55, 0.34999999999999964, 12.1125, 3, 2, 2, 5, 3, 15
[CH]#[CH2-],7, 5, 0, 0, 1, 3, 0, 1, 9, 7, 0, -1, 2, 1, 0, 3, 3, 2.55, 0.34999999999999964, 12.1125, 3, 2, 2, 4, 3, 14
[CH2-]#[CH],9, 7, 0, -1, 2, 1, 0, 3, 7, 5, 0, 0, 1, 3, 0, 3, 1, 2.55, 0.6999999999999993, 17.7225, 3, 2, 2, 5, 3, 15
[CH2]=[CH3-],8, 6, 0, 0, 2, 2, 1, 2, 10, 8, 0, -1, 3, 0, 1, 2, 4, 2.55, 0.6999999999999993, 17.7225, 3, 2, 2, 4, 3, 14
[C]#4[C],6, 4, 0, 0, 0, 4, 1, 0, 6, 4, 0, 0, 0, 4, 1, 4, 0, 2.55, 0.0, 6.5024999999999995, 3, 2, 3, 5, 3, 16
[C+]#[CH2-],5, 3, 0, 1, 0, 5, 0, -1, 9, 7, 0, -1, 2, 1, 0, 3, 3, 2.55, 0.0, 6.5024999999999995, 3, 2, 3, 4, 3, 15
[CH]#[CH],7, 5, 0, 0, 1, 3, 0, 1, 7, 5, 0, 0, 1, 3, 0, 3, 1, 2.55, 0.34999999999999964, 12.1125, 3, 2, 3, 5, 3, 16
[CH+]=[CH3-],6, 4, 0, 1, 1, 4, 1, 0, 10, 8, 0, -1, 3, 0, 1, 2, 4, 2.55, 0.34999999999999964, 12.1125, 3, 2, 3, 4, 3, 15
[CH2-]#[C+],9, 7, 0, -1, 2, 1, 0, 3, 5, 3, 0, 1, 0, 5, 0, 3, -1, 2.55, 0.6999999999999993, 17.7225, 3, 2, 3, 4, 3, 15
[CH2]=[CH2],8, 6, 0, 0, 2, 2, 1, 2, 8, 6, 0, 0, 2, 2, 1, 2, 2, 2.55, 0.6999999999999993, 17.7225, 3, 2, 3, 5, 3, 16
[CH2+]-[CH4-],7, 5, 0, 1, 2, 3, 0, 1, 11, 9, 0, -1, 4, -1, 0, 1, 3, 2.55, 0.6999999999999993, 17.7225, 3, 3, 3, 4, 3, 16
[CH3]-[CH3],9, 7, 0, 0, 3, 1, 0, 3, 9, 7, 0, 0, 3, 1, 0, 1, 3, 2.55, 1.049999999999999, 23.332500000000003, 3, 3, 3, 5, 0, 14
[CH2+]-[CH3],7, 5, 0, 1, 2, 3, 0, 1, 9, 7, 0, 0, 3, 1, 0, 1, 3, 2.55, 0.6999999999999993, 17.7225, 3, 3, 0, 5, 3, 14
[CH-]#4[N-],8, 6, 0, -1, 1, 2, 1, 2, 8, 6, 1, -1, 0, 2, 1, 4, 2, 2.55, -0.14000000000000057, 13.362, 3, 2, 2, 4, 3, 14
[CH2-]#[NH-],9, 7, 0, -1, 2, 1, 0, 3, 9, 7, 1, -1, 1, 1, 0, 3, 3, 2.55, 0.20999999999999908, 18.972, 3, 2, 2, 4, 3, 14
[C]#4[N-],6, 4, 0, 0, 0, 4, 1, 0, 8, 6, 1, -1, 0, 2, 1, 4, 2, 2.55, -0.4900000000000002, 7.752, 3, 2, 2, 4, 3, 14
[CH]#[NH-],7, 5, 0, 0, 1, 3, 0, 1, 9, 7, 1, -1, 1, 1, 0, 3, 3, 2.55, -0.14000000000000057, 13.362, 3, 2, 2, 4, 3, 14
[CH2-]#[N],9, 7, 0, -1, 2, 1, 0, 3, 7, 5, 1, 0, 0, 3, 0, 3, 1, 2.55, 0.20999999999999908, 18.972, 3, 2, 2, 5, 3, 15
[CH2]=[NH2-],8, 6, 0, 0, 2, 2, 1, 2, 10, 8, 1, -1, 2, 0, 1, 2, 4, 2.55, 0.20999999999999908, 18.972, 3, 2, 2, 4, 3, 14
[C+]#[NH-],5, 3, 0, 1, 0, 5, 0, -1, 9, 7, 1, -1, 1, 1, 0, 3, 3, 2.55, -0.4900000000000002, 7.752, 3, 2, 3, 4, 3, 15
[CH]#[N],7, 5, 0, 0, 1, 3, 0, 1, 7, 5, 1, 0, 0, 3, 0, 3, 1, 2.55, -0.14000000000000057, 13.362, 3, 2, 3, 5, 3, 16
[CH+]=[NH2-],6, 4, 0, 1, 1, 4, 1, 0, 10, 8, 1, -1, 2, 0, 1, 2, 4, 2.55, -0.14000000000000057, 13.362, 3, 2, 3, 4, 3, 15
[CH2]=[NH],8, 6, 0, 0, 2, 2, 1, 2, 8, 6, 1, 0, 1, 2, 1, 2, 2, 2.55, 0.20999999999999908, 18.972, 3, 2, 3, 5, 3, 16
[CH2+]-[NH3-],7, 5, 0, 1, 2, 3, 0, 1, 11, 9, 1, -1, 3, -1, 0, 1, 3, 2.55, 0.20999999999999908, 18.972, 3, 3, 3, 4, 3, 16
